iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-44903,304568,Sto. NiÃ‘o National High School,REGION XII,SOUTH COTABATO,STO. NIÃ‘O,2ND DISTRICT,6.25,124.4,regionxii_southcotabato,55.744169,98.7,0,4.832974,TRUE,isolation_forest_outlier,isolation_forest
2026-04084,132619,Mabog Elementary School,CARAGA,BISLIG CITY,BISLIG CITY II,2ND DISTRICT,8.2099457,126.1763246,caraga_bislig,15.272744,98.57,3,6.984231,TRUE,isolation_forest_outlier,isolation_forest
2026-04933,110293,Pawican ES Annex - Pitogo PS,MIMAROPA,OCCIDENTAL MINDORO,SAN JOSE SOUTH,LONE DISTRICT,12.1594158,121.1150032,mimaropa_occidentalmindoro,130.169626,99.72,5,2.464346,FALSE,extreme_outlier,univariate_percentile
2026-18939,109098,Talisay Elementary School ,REGION IV-A,QUEZON,SAN ANDRES,3RD DISTRICT,13.2197257,122.6870806,iva_quezon,138.866575,99.58,3,5.94379,FALSE,extreme_outlier,univariate_percentile
2026-10733,102589,Dibay Elementary School,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.3739885,121.4138801,regionii_cagayan,194.342636,99.51,2,8.45813,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-08002,100341,Nagawa Elementary School,REGION I,ILOCOS SUR,ALILEM-SUGPON,1ST DISTRICT,16.7878117,120.5775904,regioni_ilocossur,89.962091,99.41,4,4.238902,FALSE,extreme_outlier,univariate_percentile
2026-20043,301272,Sto. Domingo Integrated School,REGION IV-A,STA. ROSA CITY,CITY OF STA. ROSA DISTRICT I,1ST DISTRICT,14.2276369,121.0477155,iva_starosa,12.343823,100,3,13.434263,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-15899,301011,Candelaria School of Fisheries,REGION III,ZAMBALES,CANDELARIA,2ND DISTRICT,13.066689,121.587516,regioniii_zambales,304.693644,99.68,0,24.539297,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18933,109092,Inanuran ES,REGION IV-A,QUEZON,SAN ANDRES,3RD DISTRICT,13.23265,122.69986,iva_quezon,139.133343,99.69,2,5.884126,FALSE,extreme_outlier,univariate_percentile
2026-01715,220505,Payao Primary School,CAR,KALINGA,LUBUAGAN,LONE DISTRICT,17.29979,121.01176,car_kalinga,47.378791,99.48,1,4.800913,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-23351,309519,Tinopan High School,REGION V,ALBAY,RAPU-RAPU EAST (RAPU-RAPU),2ND DISTRICT,13.2111449,124.1956533,regionv_albay,50.872388,99.28,9,5.079899,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-16703,500631,Dona Asuncion Lee Integrated School,REGION III,MABALACAT CITY,MABALACAT NORTH,1ST DISTRICT,15.2442143,120.563013,regioniii_mabalacat,0.153216,1.85,17,5.016834,TRUE,isolation_forest_outlier,isolation_forest
2026-16501,106725,Sto. Domingo ES,REGION III,TARLAC CITY,TARLAC NORTH DISTRICT B,2ND DISTRICT,15.536658,120.5116885,regioniii_tarlac,10.262754,97.98,5,4.586669,TRUE,isolation_forest_outlier,isolation_forest
2026-20029,107779,Suplang Elementary School,REGION IV-A,TANAUAN CITY,TANAUAN CITY WEST II,3RD DISTRICT,14.1480821,121.0628463,iva_tanauan,9.638691,100,11,4.187282,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-20075,502682,Busal Integrated School,REGION IV-A,TAYABAS CITY,TAYABAS EAST,1ST DISTRICT,14.05695089,121.7230225,iva_tayabas,17.721122,100,1,9.184007,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07321,305878,Dela Paz High School,NCR,PASIG CITY,PASIG CITY DISTRICT II,LONE DISTRICT,14.6154214,121.0953639,ncr_pasig,6.325653,100,19,5.140357,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26716,301817,Cabarian National High School,REGION V,LIGAO CITY,LIGAO SOUTH DISTRICT,3RD DISTRICT,13.0113889,123.3272222,regionv_ligao,34.350227,98.51,3,10.410944,TRUE,isolation_forest_outlier,isolation_forest
2026-08285,100606,San Isidro Elementary School,REGION I,ILOCOS SUR,SAN JUAN,1ST DISTRICT,13.538279,121.70054,regioni_ilocossur,470.473981,100,0,38.457068,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-19901,301520,Mabato National High School,REGION IV-A,CALAMBA CITY,CALAMBA CITY WEST,2ND DISTRICT,14.157526,121.038353,iva_calamba,13.841128,100,6,6.752927,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-06396,111278,Cajidiocan Central Elementary School,MIMAROPA,ROMBLON,CAJIDIOCAN-MAGDIWANG,LONE DISTRICT,12.368663,122.688192,mimaropa_romblon,50.918777,82.96,5,9.290243,TRUE,isolation_forest_outlier,isolation_forest
2026-31637,118607,Tugnao Elementary School,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.109921,124.579356,regionvii_bohol,93.600679,98.67,16,3.969101,TRUE,isolation_forest_outlier,isolation_forest
2026-03806,214525,Sta. Maria Elementary School,CARAGA,SURIGAO DEL SUR,LINGIG I,2ND DISTRICT,7.94786,126.365997,caraga_surigaodelsur,127.645167,99.34,5,5.15365,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10040,300327,Maseil-seil Alo-o National High School,REGION I,"PANGASINAN II, BINALONAN",UMINGAN I,6TH DISTRICT,15.9136,120.88168,regioni_pangasinaniibinalonan,34.978376,98.57,10,4.490008,TRUE,isolation_forest_outlier,isolation_forest
2026-36617,122565,Ngolos-Honeywell Elementary School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.98645,125.79635,regionviii_easternsamar,78.925901,95.68,1,4.507089,TRUE,isolation_forest_outlier,isolation_forest
2026-08767,500002,Rosario Integrated School,REGION I,LA UNION,ROSARIO,2ND DISTRICT,16.228777,120.488543,regioni_launion,46.752602,99.22,16,3.756859,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04721,110103,Buli Elementary School,MIMAROPA,OCCIDENTAL MINDORO,LUBANG,LONE DISTRICT,13.8786627,120.0451344,mimaropa_occidentalmindoro,95.099017,66.39,3,5.664333,TRUE,isolation_forest_outlier,isolation_forest
2026-07707,300004,Banna National High School,REGION I,ILOCOS NORTE,BANNA (ESPIRITU),2ND DISTRICT,-42.485465,328.587445,regioni_ilocosnorte,16240.70115,100,0,3617.630198,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38216,303626,San Jose de Buan National High School,REGION VIII,SAMAR (WESTERN SAMAR),WRIGHT II -SAN JOSE DE BUAN,2ND DISTRICT,12.647002,122.839321,regionviii_samarwesternsamar,242.554655,99.87,0,30.164994,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-31790,118740,Nocnocan Elementary School ,REGION VII,BOHOL,TALIBON II,2ND DISTRICT,10.2459251,124.4048739,regionvii_bohol,88.598886,97.06,2,4.166486,TRUE,isolation_forest_outlier,isolation_forest
2026-09956,102034,Pilawan Elemenetary School,REGION I,"PANGASINAN II, BINALONAN",SISON,5TH DISTRICT,12.911763,121.961936,regioni_pangasinaniibinalonan,379.277211,99.64,0,84.801602,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30815,502598,Gawahon Integrated School,NIR,VICTORIAS CITY,VICTORIAS I,3RD DISTRICT,10.7932531,123.1829676,nir_victorias,16.770452,100,1,7.43575,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28800,311009,Granada NHS-Ballesteros Campus,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.5907949,123.3337583,regionvi_iloilo,129.238163,99.32,5,8.868617,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-24100,112585,San Pablo Comm Sch,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.9338436,122.6689196,regionv_camarinessur,76.584576,97.82,8,5.765665,TRUE,isolation_forest_outlier,isolation_forest
2026-02286,136167,Gaogao Elementary School,CAR,TABUK CITY,WESTERN TABUK DISTRICT II,LONE DISTRICT,17.40225,121.239833,car_tabuk,21.737679,99.03,7,5.717752,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30282,117519,Cristeta A. Dormido Elementary School,NIR,BAGO CITY,BAGO CITY IV DISTRICT,4TH DISTRICT,10.481156,123.089132,nir_bago,28.208292,100,4,4.433472,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-23334,112026,Carogcog Elementary School,REGION V,ALBAY,RAPU-RAPU EAST (RAPU-RAPU),2ND DISTRICT,13.180978,124.166439,regionv_albay,47.429388,97.3,8,4.727763,TRUE,isolation_forest_outlier,isolation_forest
2026-45646,317103,Patadon High School,REGION XII,KIDAPAWAN CITY,KIDAPAWAN CITY DISTRICT IV,2ND DISTRICT,7.07363477,124.9497902,regionxii_kidapawan,17.280257,100,8,4.262314,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01440,135775,Malalupa Elementary School,CAR,IFUGAO,ALFONSO LISTA I,LONE DISTRICT,17.0277963,121.538052,car_ifugao,50.94813,99.25,3,6.503041,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43185,129797,Roxas Elementary School,REGION XI,PANABO CITY,PANABO NORTH,2ND DISTRICT,7.4467,125.5621,regionxi_panabo,21.758154,100,4,7.116746,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-31581,118553,Balicasag Elementary School,REGION VII,BOHOL,PANGLAO,1ST DISTRICT,9.517959,123.685451,regionvii_bohol,24.557221,22.51,0,4.0988,TRUE,isolation_forest_outlier,isolation_forest
2026-10738,306015,Dibay High School,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.3762253,121.3970182,regionii_cagayan,194.91476,99.63,2,8.507787,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28120,115800,Taganghin Primary School,REGION VI,CAPIZ,TAPAZ EAST,2ND DISTRICT,11.257611,122.385561,regionvi_capiz,55.574971,99.15,6,5.029507,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42417,502247,Simulao Integrated School,REGION XI,DAVAO ORIENTAL,BOSTON,1ST DISTRICT,7.88115,126.250395,regionxi_davaooriental,104.248422,97.9,2,4.583009,TRUE,isolation_forest_outlier,isolation_forest
2026-35699,121698,Tag-os Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.19249,124.76262,regionviii_leyte,99.7565,99.77,4,6.898102,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10730,102586,Caniwalan Elementary School ,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.3107055,121.4113308,regionii_cagayan,187.476744,99.01,0,8.078911,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13025,500074,San Pedro Integrated School,REGION II,CITY OF ILAGAN,SAN ANTONIO,1ST DISTRICT,17.0221786,121.9922369,regionii_ilagan,17.564703,100,8,4.416608,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32705,119551,San Juan ES,REGION VII,CEBU,PILAR,5TH DISTRICT,10.7766228,124.5538114,regionvii_cebu,86.530475,79.79,10,3.999593,TRUE,isolation_forest_outlier,isolation_forest
2026-09098,101352,Ilog-Malino Elementary School,REGION I,"PANGASINAN I, LINGAYEN",BOLINAO,1ST DISTRICT,16.353693,119.8117598,regioni_pangasinanilingayen,57.475176,98.94,4,5.274934,TRUE,isolation_forest_outlier,isolation_forest
2026-21167,124921,Dimalinao ES,REGION IX,ZAMBOANGA DEL SUR,BAYOG,2ND DISTRICT,7.90608,123.00634,regionix_zamboangadelsur,47.134822,94.57,3,3.785381,TRUE,isolation_forest_outlier,isolation_forest
2026-45457,500763,Kolong-Kolong Integrated School,REGION XII,SULTAN KUDARAT,PALIMBANG II,2ND DISTRICT,6.133305,124.307917,regionxii_sultankudarat,74.37658,96.57,9,4.780756,TRUE,isolation_forest_outlier,isolation_forest
2026-21788,125411,San Antonio ELe,REGION IX,ZAMBOANGA DEL SUR,TABINA,2ND DISTRICT,7.382079,123.413424,regionix_zamboangadelsur,51.804155,98.52,12,3.851908,TRUE,isolation_forest_outlier,isolation_forest
2026-01802,136137,Bugnay Elementary School,CAR,KALINGA,TINGLAYAN,LONE DISTRICT,17.196433,121.090613,car_kalinga,44.392092,98.45,4,4.502201,TRUE,isolation_forest_outlier,isolation_forest
2026-03317,132259,San Jose Elementary School,CARAGA,SURIGAO CITY,SURIGAO CITY DISTRICT I,2ND DISTRICT,9.7567049,125.666587,caraga_surigao,19.876793,98.85,5,6.228334,TRUE,isolation_forest_outlier,isolation_forest
2026-42356,304316,DR. BEATO C MACAYRA NATIONAL HIGH SCHOOL,REGION XI,DAVAO ORIENTAL,BAGANGA NORTH,1ST DISTRICT,35.126248,60.584326,regionxi_davaooriental,7358.085418,100,0,609.540532,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28121,115801,Wright ES,REGION VI,CAPIZ,TAPAZ EAST,2ND DISTRICT,11.187445,122.488012,regionvi_capiz,53.899169,98.3,9,4.981838,TRUE,isolation_forest_outlier,isolation_forest
2026-45424,131174,Kanipaan Elementary School,REGION XII,SULTAN KUDARAT,PALIMBANG I,2ND DISTRICT,6.160909,124.255262,regionxii_sultankudarat,75.2694,99.26,7,4.633506,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-39028,199545,Taponan Elementary School,REGION X,BUKIDNON,DAMULOG,3RD DISTRICT,7.3812787,124.8712546,regionx_bukidnon,91.034337,99.24,3,3.86163,FALSE,extreme_outlier,univariate_percentile
2026-11775,501310,Dibulo Integrated School,REGION II,ISABELA,PALANAN,4TH DISTRICT,16.517592,122.253331,regionii_isabela,79.820724,99.32,3,6.600981,FALSE,extreme_outlier,univariate_percentile
2026-00693,135097,Dilong Elementary School,CAR,ABRA,TUBO,LONE DISTRICT,17.1788396,120.7130507,car_abra,45.551358,99.37,1,6.02246,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38991,126303,Tagbacan ES,REGION X,BUKIDNON,CABANGLASAN,2ND DISTRICT,8.130869,125.348299,regionx_bukidnon,25.477614,9.92,4,3.934969,TRUE,isolation_forest_outlier,isolation_forest
2026-33834,120316,Cangabo ES,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.076099,123.20963,nir_negrosoriental,85.427252,97.48,11,3.153831,TRUE,isolation_forest_outlier,isolation_forest
2026-23838,112379,Palo Elementary School,REGION V,CAMARINES SUR,BATO,5TH DISTRICT,12.868874,121.789455,regionv_camarinessur,177.685871,99.91,0,16.656203,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-24102,112587,Sta. Rita Elementary School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.95470927,122.6419428,regionv_camarinessur,80.286653,98.73,7,6.149581,TRUE,isolation_forest_outlier,isolation_forest
2026-28783,116217,Granada Elementary School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.5687532,123.2363246,regionvi_iloilo,120.675304,99.06,2,8.063068,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-44481,130562,Malkahi Elementary School,REGION XII,SARANGANI,MALAPATAN I,LONE DISTRICT,-24.586519,211.00209,regionxii_sarangani,9858.443145,100,0,1194.920002,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18209,108493,Palanas Elementary School (Llavac),REGION IV-A,LAGUNA,SINILOAN,4TH DISTRICT,14.532512,121.520399,iva_laguna,30.483185,97.1,3,5.48131,TRUE,isolation_forest_outlier,isolation_forest
2026-40995,500800,Dukdokaan Integrated School,REGION X,GINGOOG CITY,GINGOOG CITY NORTH-3 DISTRICT,1ST DISTRICT,8.466426,125.248948,regionx_gingoog,35.347011,100,0,11.251704,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38762,122392,Bagong Barrio Elementary School,REGION VIII,BORONGAN CITY,BORONGAN SOUTH,LONE DISTRICT,11.482318,125.322676,regionviii_borongan,19.437919,100,2,7.647108,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05589,110791,Agutayan Elementary School,MIMAROPA,PALAWAN,BALABAC,2ND DISTRICT,7.912188,116.966271,mimaropa_palawan,242.667295,77.92,2,3.580754,TRUE,isolation_forest_outlier,isolation_forest
2026-38068,123820,Luna Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.07222412,124.1729522,regionviii_samarwesternsamar,84.231494,98.92,11,9.149726,TRUE,isolation_forest_outlier,isolation_forest
2026-14842,300914,Salapungan NHS - Annex Mandili,REGION III,PAMPANGA,CANDABA EAST,4TH DISTRICT,15.169398,120.914742,regioniii_pampanga,28.902928,98.95,9,4.511913,TRUE,isolation_forest_outlier,isolation_forest
2026-05880,502203,Pag-asa Integrated School,MIMAROPA,PALAWAN,QUEZON NORTH,1ST DISTRICT,8.197451,112.6079459,mimaropa_palawan,667.166803,99.88,0,10.779801,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42416,316111,Caatijan National High School,REGION XI,DAVAO ORIENTAL,BOSTON,1ST DISTRICT,7.898141,126.287436,regionxi_davaooriental,106.176488,99.1,3,4.684624,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03163,317513,Bagong Silang National High School,CARAGA,BUTUAN CITY,SOUTHEAST II BUTUAN DISTRICT,1ST DISTRICT,8.7508444,125.5010056,caraga_butuan,19.505976,97.83,4,5.349458,TRUE,isolation_forest_outlier,isolation_forest
2026-11893,103660,Palacian Elementary School,REGION II,ISABELA,SAN AGUSTIN,4TH DISTRICT,16.4139504,121.7460043,regionii_isabela,82.552245,99.55,8,4.398006,FALSE,extreme_outlier,univariate_percentile
2026-31633,118601,Saguise elementary school,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.1289125,124.5886406,regionvii_bohol,95.5971,99.38,15,4.150034,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04401,502736,Pag-asa Tribal Community Integrated School,CARAGA,TANDAG CITY,TANDAG II,1ST DISTRICT,9.042616585,126.0651252,caraga_tandag,15.069198,100,2,5.810761,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33845,120327,Martilo Elementary School ,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.0505231,123.2423261,nir_negrosoriental,82.245653,94.56,12,3.112965,TRUE,isolation_forest_outlier,isolation_forest
2026-05627,305474,Agutayan National High School,MIMAROPA,PALAWAN,BALABAC,2ND DISTRICT,7.912098,116.966243,mimaropa_palawan,242.676491,78.04,2,3.580874,TRUE,isolation_forest_outlier,isolation_forest
2026-22481,501789,Aliguay Integrated School,REGION IX,DAPITAN CITY,SULANGON,1ST DISTRICT,8.746892,123.225558,regionix_dapitan,24.014189,100,0,9.045839,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-39770,127028,Miguela Pogoy Miguela Pogoy Elementary School,REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,2ND DISTRICT,7.82,123.66,regionx_lanaodelnorte,69.488223,99.22,8,3.286651,FALSE,extreme_outlier,univariate_percentile
2026-32684,119535,Mainit Elementary School ,REGION VII,CEBU,OSLOB,2ND DISTRICT,9.43288757,123.3591291,regionvii_cebu,116.814455,98.51,12,3.979895,TRUE,isolation_forest_outlier,isolation_forest
2026-28775,116208,Buaya Elementary School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.45356443,123.2726821,regionvi_iloilo,113.40153,98.13,5,7.506811,TRUE,isolation_forest_outlier,isolation_forest
2026-02003,221009,Damsite Elementary School,CAR,MT. PROVINCE,PARACELIS,LONE DISTRICT,17.13051389,121.5621722,car_mt,62.178763,99.62,1,10.173974,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33849,120331,Pisong ES,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.06169,123.24834,nir_negrosoriental,83.435304,96.12,8,3.201963,TRUE,isolation_forest_outlier,isolation_forest
2026-29878,302614,Culipapa National High School,NIR,NEGROS OCCIDENTAL,HINOBAAN,6TH DISTRICT,9.47665,122.56497,nir_negrosoccidental,153.938137,98.44,5,5.94993,TRUE,isolation_forest_outlier,isolation_forest
2026-43575,129067,Pulabato Elementary School,REGION XI,DAVAO OCCIDENTAL,SARANGANI,1ST DISTRICT,5.40357,125.34912,regionxi_davaooccidental,119.764903,98.63,3,10.568473,TRUE,isolation_forest_outlier,isolation_forest
2026-17698,307820,Bucal National High School - Sta. Mercedes Annex,REGION IV-A,CAVITE,MARAGONDON,7TH DISTRICT,14.6214,121.4512209,iva_cavite,73.501615,100,0,21.402056,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34494,323010,LUCILA C. YARED NATIONAL HIGH SCHOOL,NIR,BAIS CITY,BAIS CITY NORTH,2ND DISTRICT,9.6026752,122.89091,nir_bais,24.920175,98.25,4,6.297795,TRUE,isolation_forest_outlier,isolation_forest
2026-24965,502496,Baldoc Integrated School,REGION V,CATANDUANES,PANDAN EAST,LONE DISTRICT,14.0765281,124.2115879,regionv_catanduanes,30.663326,92.91,8,3.1825,TRUE,isolation_forest_outlier,isolation_forest
2026-38995,127109,Sawebseb Te Untung Te Katablaran,REGION X,BUKIDNON,CABANGLASAN,2ND DISTRICT,8.08904,125.37925,regionx_bukidnon,29.78084,14.35,4,3.912273,TRUE,isolation_forest_outlier,isolation_forest
2026-19604,109631,Sangley Elementary School,REGION IV-A,CAVITE CITY,CAVITE CITY I DISTRICT,1ST DISTRICT,14.4935867,120.9058349,iva_cavite,24.271346,100,14,3.711902,FALSE,extreme_outlier,univariate_percentile
2026-11529,103273,San Andres Elementary School,REGION II,ISABELA,DELFIN ALBANO,1ST DISTRICT,12.880447,121.774408,regionii_isabela,474.238174,99.77,0,39.480256,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33439,500446,Bayabas Integrated School,REGION VII,DANAO CITY,DANAO CITY WEST,5TH DISTRICT,10.588897,123.866033,regionvii_danao,18.715742,96.72,5,6.651289,TRUE,isolation_forest_outlier,isolation_forest
2026-23345,112048,Viga Elementary School,REGION V,ALBAY,RAPU-RAPU EAST (RAPU-RAPU),2ND DISTRICT,13.2197193,124.1809945,regionv_albay,49.421725,98.74,8,4.900038,TRUE,isolation_forest_outlier,isolation_forest
2026-24092,112577,Del Gallego Central School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.9225861,122.5974803,regionv_camarinessur,82.589768,99.36,7,6.335713,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33196,119874,City Central Elementary School,REGION VII,CEBU CITY,NORTH DISTRICT 1,1ST DISTRICT,12.133173,123.261386,regionvii_cebu,211.348715,100,0,104.628143,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28204,305930,Catalino G. Nava Farm School,REGION VI,GUIMARAS,SAN LORENZO (BUENAVISTA III),LONE DISTRICT,14.3037374,120.9044342,regionvi_guimaras,450.816246,100,0,127.438819,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01193,318903,Tawangan-Lusod National High School,CAR,BENGUET,KABAYAN,LONE DISTRICT,17.685895,121.68457,car_benguet,179.945155,99.77,0,17.127951,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-39260,126616,Tagmaray Elementary School,REGION X,BUKIDNON,MALITBOG,1ST DISTRICT,12.625283,124.284662,regionx_bukidnon,504.578061,99.69,0,42.62814,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43293,128693,Matanos Elementary School,REGION XI,ISLAND GARDEN CITY OF SAMAL,KAPUTIAN,2ND DISTRICT,6.8938477,125.736594,regionxi_islandgardencitysamal,20.093933,100,7,3.682641,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-24093,112578,Kinalangan Elementary School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.921445,122.596158,regionv_camarinessur,82.654032,99.45,7,6.340782,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13980,158519,Talamsi II ES,REGION III,BULACAN,DONA REMEDIOS TRINIDAD,3RD DISTRICT,15.240649,121.142733,regioniii_bulacan,55.361429,99.02,4,7.662255,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-22156,303842,La Dicha National High School,REGION IX,ZAMBOANGA SIBUGAY,MALANGAS,1ST DISTRICT,11.383971,122.197623,regionix_zamboangasibugay,401.206926,99.61,0,46.148778,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38074,123826,San Vicente Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.06993,124.16525,regionviii_samarwesternsamar,84.903133,99.46,10,9.245852,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-21761,125388,Pictoran Elementary School ,REGION IX,ZAMBOANGA DEL SUR,SOMINOT,1ST DISTRICT,7.580328,120.27832,regionix_zamboangadelsur,348.569411,99.38,0,47.476278,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42914,304353,Buda National High School,REGION XI,DAVAO CITY,MARILOG,3RD DISTRICT,7.5201503,125.2341253,regionxi_davao,64.718095,99.32,4,5.624229,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-09104,101359,Patar Elementary School,REGION I,"PANGASINAN I, LINGAYEN",BOLINAO,1ST DISTRICT,16.3403782,119.7957607,regioni_pangasinanilingayen,57.935328,99.09,3,5.2719,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03273,132222,Lanit-ag Elementary School,CARAGA,SIARGAO,SOCORRO EAST DISTRICT,1ST DISTRICT,10.404403,125.799662,caraga_siargao,62.082757,100,0,11.95463,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-29522,501116,Olotayan Integrated school,REGION VI,ROXAS CITY,ROXAS CITY DISTRICT I,1ST DISTRICT,11.637985,122.836076,regionvi_roxas,9.211254,88,0,6.677149,TRUE,isolation_forest_outlier,isolation_forest
2026-33618,306065,Calavera National High School,REGION VII,"CITY OF NAGA, CEBU",NAGA I,1ST DISTRICT,10.607936,123.8857747,regionvii_nagacebu,46.387861,100,1,23.987911,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-06285,110987,Malawig Elementary School,MIMAROPA,PALAWAN,CORON INLAND,1ST DISTRICT,12.19724,120.240707,mimaropa_palawan,358.589291,99.05,1,3.590733,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10352,502707,Bugnay Integrated School,REGION I,CANDON CITY,DISTRICT II,2ND DISTRICT,17.2084855,120.5042161,regioni_candon,8.189824,100,8,4.137047,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01447,220011,MALIGAYA ES,CAR,IFUGAO,ALFONSO LISTA I,LONE DISTRICT,17.0757015,121.5603572,car_ifugao,55.766372,99.62,0,7.289636,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-40117,501885,Ignacio Tan  Memorial Integrated School,REGION X,MISAMIS OCCIDENTAL,BONIFACIO EAST,2ND DISTRICT,8.04,123.59,regionx_misamisoccidental,54.977764,98.81,14,5.584235,TRUE,isolation_forest_outlier,isolation_forest
2026-35673,121676,Elevado Elementary School,REGION VIII,LEYTE,MATALOM NORTH,5TH DISTRICT,10.25491117,124.7989422,regionviii_leyte,93.812083,98.76,16,6.287772,TRUE,isolation_forest_outlier,isolation_forest
2026-39675,126947,Rufino Santos Sr MES,REGION X,LANAO DEL NORTE,BACOLOD,1ST DISTRICT,12.611086,124.879082,regionx_lanaodelnorte,502.420903,99.74,0,53.982251,TRUE,extreme_outlier,univariate_percentile+isolation_forest
