iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-05415,110620,Sabang Elementary School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.505309,120.9348786,mimaropa_orientalmindoro,28.451776,30.97,15,4.945643,TRUE,isolation_forest_outlier,isolation_forest
2026-22335,125851,Moalboal Elementary School,REGION IX,ZAMBOANGA SIBUGAY,TALUSAN,1ST DISTRICT,7.3187682,122.873717,regionix_zamboangasibugay,60.595155,98.23,13,4.387041,TRUE,isolation_forest_outlier,isolation_forest
2026-33850,120332,Pitogo Elementary School,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.0809773,123.0917277,nir_negrosoriental,88.409751,99.03,6,3.093437,FALSE,extreme_outlier,univariate_percentile
2026-18975,109129,Gregorio G. Edano Sr. Elementary School,REGION IV-A,QUEZON,SAN FRANCISCO,3RD DISTRICT,13.1722925,122.6179371,iva_quezon,136.282662,99.16,7,6.128998,FALSE,extreme_outlier,univariate_percentile
2026-19461,109458,Punta Elementary School,REGION IV-A,RIZAL,JALAJALA,2ND DISTRICT,14.294555,121.306427,iva_rizal,35.44568,97.73,4,5.172866,TRUE,isolation_forest_outlier,isolation_forest
2026-28789,116224,Punta Elementary School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.58850497,123.1429946,regionvi_iloilo,116.654468,98.89,6,7.640905,TRUE,isolation_forest_outlier,isolation_forest
2026-17519,342196,Pantalan Senior High School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.0833013,120.6336807,iva_batangas,58.66214,98.29,18,4.802245,TRUE,isolation_forest_outlier,isolation_forest
2026-05426,309035,Puerto Galera National High School - San Isidro Extension,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.501898,120.908156,mimaropa_orientalmindoro,30.997213,34.97,10,5.193473,TRUE,isolation_forest_outlier,isolation_forest
2026-25679,113937,Sulficio Elliot Elementary School,REGION V,MASBATE,SAN PASCUAL NORTH,1ST DISTRICT,13.118029,122.937357,regionv_masbate,111.903485,99.29,7,6.650219,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17509,107513,Natipuan Elementary School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.1198358,120.6332903,iva_batangas,61.26039,98.86,16,5.220378,TRUE,isolation_forest_outlier,isolation_forest
2026-08119,100466,Bissayot Elementary School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,16.980581,120.739954,regioni_ilocossur,75.971011,94.07,14,6.621456,TRUE,isolation_forest_outlier,isolation_forest
2026-30381,117645,Miguel S. Mondia Elementary School,NIR,LA CARLOTA CITY,LA CARLOTA CITY DISTRICT   III,4TH DISTRICT,10.397398,123.076209,nir_lacarlota,17.640716,100,4,4.358147,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35702,303370,Esperanza National High School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.2362344,124.7945108,regionviii_leyte,95.718045,99.14,14,6.474785,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-06295,130323,Napuagan Elementary School,MIMAROPA,PALAWAN,CORON INLAND,1ST DISTRICT,12.2938856,120.35549,mimaropa_palawan,374.275369,99.52,2,3.869174,TRUE,extreme_outlier,univariate_percentile+isolation_forest
