iern,school_id,linear_distance_km
2026-01194,502173,35.658085
2026-01529,135854,15.145145
2026-19070,109197,96.231665
2026-05218,110470,108.028118
2026-11139,102980,30.882329
2026-00572,109598,24.880011
2026-42823,129570,30.924287
2026-16937,107316,47.560352
2026-20318,107719,31.37608
2026-01801,136136,34.606069
2026-21101,303749,101.180242
2026-16696,159542,2.454167
2026-36937,123097,18.364076
2026-16212,107077,2.479284
2026-22303,125825,28.78195
2026-42259,129043,26.835296
2026-11326,102996,41.152721
2026-19058,109190,16.033487
2026-02479,131431,27.674839
2026-04336,304732,5.489731
2026-19481,109524,21.474963
2026-08695,100969,23.720019
2026-23558,112166,36.999346
2026-19623,109649,6.651625
2026-18322,108583,76.128259
2026-32595,119448,91.432099
2026-09719,101836,21.720723
2026-05787,111010,311.376726
2026-06219,109678,177.151128
2026-32423,119275,98.384639
2026-15642,106572,21.038386
2026-33869,120366,60.515976
2026-10593,306008,23.352293
2026-11225,102554,66.142192
2026-40041,127131,7.401773
2026-04314,131636,0.691643
2026-40076,201014,8.696732
2026-39452,126388,33.18366
2026-03719,500321,9.349861
2026-06459,111330,50.129821
2026-42192,128937,32.429534
2026-41635,128439,28.436879
2026-10603,102426,16.580826
2026-01076,135457,47.690805
2026-10554,102375,30.639781
2026-28078,115757,18.295724
2026-10471,100088,1.805032
2026-17837,108157,11.046572
2026-14128,105281,25.170836
2026-05362,110574,50.443134
2026-20715,124544,27.210599
2026-06549,111404,21.188903
2026-20365,124278,85.307035
2026-10009,300363,17.355495
2026-18663,108866,20.521984
2026-06690,111502,4.141666
2026-33334,303310,11.243495
2026-26411,114450,5.020646
2026-42638,129438,18.512304
2026-05275,110512,12.882004
2026-24704,113035,48.422888
2026-33128,303138,0.767778
2026-26935,114762,4.123574
2026-26372,114422,3.086496
2026-10691,102536,87.348215
2026-14110,105263,363.433065
2026-09189,101422,13.591399
2026-20326,107700,34.789266
2026-12813,103190,17.525251
2026-04194,132425,35.031486
2026-26651,114602,11.490379
2026-02121,136362,23.423856
2026-13059,306805,1.451051
2026-17683,108041,12.947006
2026-08236,100565,27.877537
2026-05497,301635,44.997919
2026-43568,501412,23.652927
2026-34053,120578,75.739186
2026-37395,123017,45.54584
2026-34601,120285,4.964901
2026-05382,110592,44.203002
2026-11865,103639,25.154544
2026-44720,208028,48.296552
2026-05357,110569,49.307219
2026-05126,110413,109.471714
2026-27247,302350,139.125406
2026-11236,102576,64.985451
2026-20452,502464,34.13042
2026-18048,108342,7.736406
2026-08885,101141,47.23361
2026-29637,302592,75.562762
2026-13064,105716,1.885121
2026-44130,130330,46.607072
2026-42200,205023,29.235419
2026-14176,305812,40.38906
2026-06383,111268,42.683441
2026-12914,103840,0.136124
2026-33142,303144,6.468777
2026-35593,121624,48.961875
2026-36033,121966,24.907385
2026-37303,122935,71.561282
2026-18588,108801,67.988284
2026-40516,127751,45.594398
2026-42092,316013,14.685419
2026-07649,100025,32.926119
2026-38953,126267,41.061106
2026-17316,107665,20.284305
2026-35549,121572,44.42078
2026-13402,104670,10.023532
2026-36918,193016,28.109437
2026-27906,115606,27.489955
2026-12468,103991,13.887929
2026-37205,122837,11.214474
2026-02264,136094,14.776894
2026-07211,305748,0.921642
2026-01942,221011,4.615214
2026-35187,121264,23.685927
2026-04817,111083,95.109891
2026-17608,107932,13.496088
2026-39596,126690,68.384806
2026-38095,123846,22.126054
2026-03440,132377,49.487517
2026-08420,100719,43.20123
2026-10992,102852,111.087227
2026-25573,113821,61.602943
2026-38033,123786,48.246453
2026-09116,137168,56.360612
2026-11783,103567,34.534749
2026-06098,301699,99.324816
2026-23268,111958,34.62354
2026-05696,110902,67.305958
2026-00801,318811,36.031544
2026-10796,102639,15.472106
2026-04534,109966,6.889413
2026-08073,100401,26.823715
2026-39420,126820,56.711783
2026-09782,300340,18.945765
2026-23611,112213,31.730412
2026-22773,303928,18.44431
2026-17047,306213,2.442434
2026-14663,105807,15.435536
2026-00536,135065,7.637124
2026-21477,125151,32.029858
2026-16370,307601,1.851817
2026-04104,322505,15.340464
2026-24295,112729,49.549868
2026-11963,103722,27.755091
2026-39172,126463,60.363949
2026-07661,100038,32.658607
2026-10501,102324,11.627399
2026-40498,304070,66.307373
2026-31289,312356,55.557473
2026-16074,106987,53.151018
2026-34543,120246,6.418812
2026-25831,113935,102.202891
2026-08134,100484,73.890821
2026-22660,126087,18.597209
2026-41694,304203,14.274111
2026-06088,110872,97.654417
2026-09344,300212,23.439096
2026-05700,110906,82.152197
2026-44968,501907,49.529603
2026-41631,128435,39.761707
2026-15585,300984,26.39221
2026-14514,105651,17.895648
2026-33195,303142,5.026439
2026-01695,135986,26.563187
2026-28889,116299,37.269822
2026-04563,109990,4.753775
2026-12640,300656,0.913692
2026-03555,132548,13.893134
2026-15573,106514,23.745489
2026-01682,135973,27.515238
2026-01323,305153,52.033549
2026-09568,101718,10.711067
2026-22349,125863,7.296553
2026-14696,105828,18.430271
2026-06243,309164,191.557976
2026-39070,126372,16.789651
