region,division,position_description,category,plantilla_position,personnel_count
Negros Island Region (NIR),Division of Sagay City,Education Program Specialist II,Related-Teaching Personnel,Filled,10
Region XI - Davao,Division of Mati City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Bayawan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Ilocos Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Pagadian City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Batangas City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of South Cotabato,Registrar I,Related-Teaching Personnel,Filled,10
Region VII - Central Visayas,Division of Cebu City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VII - Central Visayas,Division of Cebu City,Registrar I,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Legazpi City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Pangasinan I,Guidance Counselor III,Related-Teaching Personnel,Unfilled,10
Region XII - SOCCSKSARGEN,Division of South Cotabato,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Isabela City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of La Union,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VII - Central Visayas,Division of Danao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of General Trias City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Bislig City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VII - Central Visayas,Division of Lapu-lapu City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IX - Zamboanga Peninsula,Division of Dipolog City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Calamba City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Malolos City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of San Carlos City,Education Program Specialist II,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Masbate City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XI - Davao,Division of Digos City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Ilocos Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Negros Oriental,Guidance Counselor I,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Malabon City,Registrar I,Related-Teaching Personnel,Filled,10
Region VII - Central Visayas,Division of Talisay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Malabon City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Dagupan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XIII - CARAGA,Division of Butuan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Camarines Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XI - Davao,Division of Davao Occidental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Romblon,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Biliran,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Pasay City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region XII - SOCCSKSARGEN,Division of Sarangani,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Manila,Guidance Counselor III,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Muntinlupa,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Naga City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Puerto Princesa City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region II - Cagayan Valley,Division of Nueva Vizcaya,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Calbayog City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Cabanatuan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Lipa City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Catbalogan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Lucena City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Pangasinan II,Guidance Counselor I,Related-Teaching Personnel,Unfilled,10
Region IVA - CALABARZON,Division of Biñan City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Oriental Mindoro,Registrar I,Related-Teaching Personnel,Filled,10
Region II - Cagayan Valley,Division of Quirino,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region V - Bicol,Division of Tabaco City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Olongapo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Oriental Mindoro,Guidance Counselor I,Related-Teaching Personnel,Unfilled,10
Region VIII - Eastern Visayas,Division of Northern Samar,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Northern Samar,Registrar I,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Taguig and Pateros,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of San Jose del Monte City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Cavite,Guidance Counselor I,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Ormoc City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Baguio City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Mandaluyong,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region IVB - MIMAROPA,Division of Occidental Mindoro,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
National Capital Region (NCR),Division of Las Piñas,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Southern Leyte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region II - Cagayan Valley,Division of Tuguegarao City,Guidance Counselor III,Related-Teaching Personnel,Filled,10
Region IVA - CALABARZON,Division of Quezon,Guidance Counselor I,Related-Teaching Personnel,Unfilled,10
Region II - Cagayan Valley,Division of Tuguegarao City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region III - Central Luzon,Division of Bulacan,Guidance Counselor I,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Mt. Province,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region VIII - Eastern Visayas,Division of Tacloban City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,10
Region VIII - Eastern Visayas,Division of Tacloban City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Cordillera Administrative Region (CAR),Division of Apayao,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Negros Island Region (NIR),Division of Bago City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,10
Region I - Ilocos,Division of Pangasinan II,Guidance Counselor III,Related-Teaching Personnel,Filled,9
National Capital Region (NCR),Division of Quezon City,Guidance Counselor III,Related-Teaching Personnel,Filled,9
Region XI - Davao,Division of Davao Oriental,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region III - Central Luzon,Division of Tarlac City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region IVA - CALABARZON,Division of Cavite,Guidance Counselor III,Related-Teaching Personnel,Filled,9
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Registrar I,Related-Teaching Personnel,Filled,9
Region IVB - MIMAROPA,Division of Marinduque,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region VII - Central Visayas,Division of Cebu City,Guidance Counselor II,Related-Teaching Personnel,Filled,9
Region III - Central Luzon,Division of Zambales,Guidance Counselor I,Related-Teaching Personnel,Unfilled,9
Region XII - SOCCSKSARGEN,Division of General Santos City,Registrar I,Related-Teaching Personnel,Filled,9
Region XII - SOCCSKSARGEN,Division of Sarangani,Registrar I,Related-Teaching Personnel,Filled,9
Region XI - Davao,Division of Davao de Oro,Registrar I,Related-Teaching Personnel,Filled,9
Region X - Northern Mindanao,Division of Iligan City,Guidance Coordinator III,Related-Teaching Personnel,Filled,9
Region XIII - CARAGA,Division of Agusan del Sur,Guidance Counselor I,Related-Teaching Personnel,Unfilled,9
Region IVA - CALABARZON,Division of Laguna,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,9
Region VI - Western Visayas,Division of Iloilo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
National Capital Region (NCR),Division of Quezon City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,9
Region XIII - CARAGA,Division of Agusan del Norte,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region VII - Central Visayas,Division of Toledo City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region X - Northern Mindanao,Division of Ozamiz City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Negros Island Region (NIR),Division of Bacolod City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region VII - Central Visayas,Division of Carcar City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region XI - Davao,Division of Davao del Sur,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region V - Bicol,Division of Masbate,Registrar I,Related-Teaching Personnel,Filled,9
Region IVA - CALABARZON,Division of Antipolo City,Registrar I,Related-Teaching Personnel,Filled,9
Region XI - Davao,Division of Davao Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region IVA - CALABARZON,Division of Cavite,Education Program Specialist II,Related-Teaching Personnel,Filled,9
Region VIII - Eastern Visayas,Division of Eastern Samar,Registrar I,Related-Teaching Personnel,Filled,9
Region I - Ilocos,Division of San Carlos City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region XII - SOCCSKSARGEN,Division of Cotabato,Guidance Counselor I,Related-Teaching Personnel,Unfilled,9
Cordillera Administrative Region (CAR),Division of Benguet,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Cordillera Administrative Region (CAR),Division of Abra,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region XIII - CARAGA,Division of Dinagat Island,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region VI - Western Visayas,Division of Guimaras,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
National Capital Region (NCR),Division of Pasig City,Registrar I,Related-Teaching Personnel,Filled,9
Region I - Ilocos,Division of San Carlos City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region IVA - CALABARZON,Division of Lipa City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region IX - Zamboanga Peninsula,Division of Zamboanga Sibugay,Guidance Counselor II,Related-Teaching Personnel,Filled,9
Region VII - Central Visayas,Division of Mandaue City,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
National Capital Region (NCR),Division of Las Piñas,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region VIII - Eastern Visayas,Division of Calbayog City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,9
Region VIII - Eastern Visayas,Division of Northern Samar,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,9
National Capital Region (NCR),Division of Marikina,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region XI - Davao,Division of Davao del Norte,Public Schools District Supervisor,Related-Teaching Personnel,Filled,9
Region III - Central Luzon,Division of Tarlac,Education Program Specialist II,Related-Teaching Personnel,Filled,8
Region VIII - Eastern Visayas,Division of Samar,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,8
Region IX - Zamboanga Peninsula,Division of Zamboanga del Sur,Education Program Specialist II,Related-Teaching Personnel,Filled,8
